customer_id,order_date,order_time,item_id,item_quantity,item_price,item_discount_raw,item_discount_percentage,item_disc_bins_item_disc_null,item_disc_bins_item_disc_sub_twenty,item_disc_bins_item_disc_sub_forty,item_disc_bins_item_disc_sub_sixty,item_disc_bins_item_disc_sub_eighty,item_disc_bins_item_disc_sub_hundred
0,2022-04-29,18:29:49,Arzuaga blanco,1,49.0,0.0,0.0,1,0,0,0,0,0
0,2022-04-29,18:29:49,Arzuaga reserva,1,94.0,0.0,0.0,1,0,0,0,0,0
1,2022-04-22,18:08:59,Eclisse,1,51.0,0.0,0.0,1,0,0,0,0,0
1,2022-04-22,18:08:59,Refosco,2,62.0,0.0,0.0,1,0,0,0,0,0
2,2022-05-29,19:37:45,Wine Ambassador Series: Portugal - 1700 - 1800,1,39.0,0.0,0.0,1,0,0,0,0,0
3,2023-07-20,17:00:28,Ziereisen Blauer Spatburgunder 2017,1,50.0,0.0,0.0,1,0,0,0,0,0
3,2023-07-20,17:00:28,Corte Moschina I Tarai 2020,1,44.0,0.0,0.0,1,0,0,0,0,0
3,2023-07-20,17:00:28,Cascina Chicco Birbet NV,1,32.0,0.0,0.0,1,0,0,0,0,0
4,2023-06-03,16:06:32,"Wine Ambassador Series: Spier Winery, Stellenbosch, South Africa - 1530 - 1630",2,29.0,0.0,0.0,1,0,0,0,0,0
5,2022-01-22,05:52:45,Luca Old Vine Malbec 2017,2,70.9,0.0,0.0,1,0,0,0,0,0
6,2022-01-22,05:41:36,Luca Old Vine Malbec 2017,1,70.9,0.0,0.0,1,0,0,0,0,0
7,2022-05-29,20:43:58,Loveblock Gewurztraminer 2020,1,44.0,0.0,0.0,1,0,0,0,0,0
7,2022-05-29,20:43:58,Coto de Imaz Gran Reserva 2015,1,59.0,0.0,0.0,1,0,0,0,0,0
7,2022-05-29,20:43:58,Southern Right Pinotage 2020,1,56.0,0.0,0.0,1,0,0,0,0,0
8,2023-06-22,12:00:33,J.B. Becker Wallufer Berg Bildstock Kabinett 2015,4,64.0,0.0,0.0,1,0,0,0,0,0
8,2023-06-22,12:00:33,Shannon Mount Bullet Merlot 2018,1,105.0,0.0,0.0,1,0,0,0,0,0
8,2023-06-22,12:00:33,Shannon Mount Bullet Merlot 2016,3,115.0,0.0,0.0,1,0,0,0,0,0
9,2023-03-30,13:26:08,"Wine Ambassador Series: Naturals, Not April Fools! - 1700 - 1800",2,25.0,0.0,0.0,1,0,0,0,0,0
10,2022-01-22,05:14:18,Cannonball Sonoma County Chardonnay 2016,3,41.0,0.0,0.0,1,0,0,0,0,0
11,2023-06-23,16:55:16,Oxer Wine Marko Gure Arbasoak 2020,1,71.0,0.0,0.0,1,0,0,0,0,0
12,2022-10-11,15:59:32,Anthonij Rupert Optima 2018 - 750ml,1,60.0,0.0,0.0,1,0,0,0,0,0
12,2022-10-11,15:59:32,Rickety Bridge Paulina's Reserve Cabernet Sauvignon 2018,1,79.0,0.0,0.0,1,0,0,0,0,0
13,2022-06-24,20:09:02,Peter Zemmer Vernatsch Schiava DOC 2019,1,48.0,0.0,0.0,1,0,0,0,0,0
13,2022-06-24,20:09:02,PX,1,54.0,0.0,0.0,1,0,0,0,0,0
14,2022-06-24,19:52:14,Stolpman Vineyards Uni Blanc Roussanne-Chardonnay 2020,1,72.0,0.0,0.0,1,0,0,0,0,0
14,2022-06-24,19:52:14,Stolpman Love You Bunches 2020,1,64.0,0.0,0.0,1,0,0,0,0,0
15,2022-06-17,19:25:41,Stolpman Vineyards Uni Blanc Roussanne-Chardonnay 2020,1,72.0,0.0,0.0,1,0,0,0,0,0
15,2022-06-17,19:25:41,Franklin & Sons Pink Grapefruit Tonic Water with Bergamot - 4 bottles,1,10.5,0.0,0.0,1,0,0,0,0,0
15,2022-06-17,19:25:41,Fuck Him,1,68.0,0.0,0.0,1,0,0,0,0,0
16,2022-03-15,22:01:45,Louis Tête Coteaux du Lyonnais Antique Bellum Blanc 2018,10,34.0,0.0,0.0,1,0,0,0,0,0
16,2022-03-15,22:01:45,Tussock Jumper Touriga Nacional - Aragonez 2019 - Single Bottle,10,30.0,0.0,0.0,1,0,0,0,0,0
17,2022-12-16,01:28:09,Wine Ambassador Series: 101 to Natural Wines - 1700 - 1800,1,20.0,0.0,0.0,1,0,0,0,0,0
18,2023-05-22,23:08:15,Cheese & Charcuterie Boards - Petit (Serves 1 pax) / Cheese & Charcuterie,1,38.0,0.0,0.0,1,0,0,0,0,0
19,2022-01-22,04:56:38,Tempos Vega Sicilia Tokaj-Oremus Mandolás 2018,4,60.0,0.0,0.0,1,0,0,0,0,0
20,2023-01-21,11:26:37,Kolonne Null - Sparkling Riesling,2,48.0,0.0,0.0,1,0,0,0,0,0
21,2023-01-20,17:32:35,Kolonne Null - Sparkling rose,2,45.0,0.0,0.0,1,0,0,0,0,0
22,2023-07-15,19:47:59,Il Canovino Soave Classico DOC 2022,1,50.0,0.0,0.0,1,0,0,0,0,0
23,2023-07-08,19:52:16,Viorica de Purcari 2021,1,52.0,0.0,0.0,1,0,0,0,0,0
24,2023-06-30,19:33:03,Adega de Azueira O Magnânimo D. João V Reserva Tinto 2019,1,41.0,0.0,0.0,1,0,0,0,0,0
25,2023-05-27,18:45:18,"La Kiuva ""Rouge de Vallee"" Valle d'Aosta 2021",1,54.0,0.0,0.0,1,0,0,0,0,0
26,2023-05-13,19:52:38,Freixenet Pinot Grigio Garda DOC 2021,1,37.0,0.0,0.0,1,0,0,0,0,0
27,2023-04-08,18:58:03,San Marzano Rari Nero d’Avola DOP 2020,1,60.0,0.0,0.0,1,0,0,0,0,0
28,2023-02-26,17:53:03,Tussock Jumper Zinfandel 2018,1,36.0,0.0,0.0,1,0,0,0,0,0
28,2023-02-26,17:53:03,Villa Sparina Gavi di Gavi DOC 2021,1,50.0,3.0,6.0,0,1,0,0,0,0
29,2023-02-18,20:03:22,Genius Y Locus Tinto 2016,1,68.0,0.0,0.0,1,0,0,0,0,0
30,2022-12-03,19:57:36,Casa Emma Cortine Vernaccia,1,52.0,10.4,20.0,0,1,0,0,0,0
31,2022-10-15,15:40:49,Tikves Alexandria Cuvée Rosé 2019,1,40.0,0.0,0.0,1,0,0,0,0,0
31,2022-10-15,15:40:49,Tamada Mukuzani 2018,1,47.0,0.0,0.0,1,0,0,0,0,0
32,2022-07-16,16:51:40,VIK La Piu Belle 2018,1,102.0,0.0,0.0,1,0,0,0,0,0
32,2022-07-16,16:51:40,Tussock Jumper Chenin Blanc 2018 - Single Bottle,1,32.0,0.0,0.0,1,0,0,0,0,0
33,2022-12-15,12:33:35,Fossa Chocolate Sake Kasu Dark Chocolate,1,12.0,0.0,0.0,1,0,0,0,0,0
34,2023-02-09,13:00:45,Black Tears Dry Spice By Vigia,1,79.0,15.8,20.0,0,1,0,0,0,0
34,2023-02-09,13:00:45,Five Farms Irish Cream Liqueur,1,70.0,0.0,0.0,1,0,0,0,0,0
34,2023-02-09,13:00:45,AMASS Botanic Vodka,1,99.0,0.0,0.0,1,0,0,0,0,0
34,2023-02-09,13:00:45,Saicho Sparkling Tea - Darjeeling / Single Bottle (200ML),1,11.8,0.0,0.0,1,0,0,0,0,0
35,2023-04-14,14:04:05,Geyerhof Ried Hoher Rain Grüner Veltliner 2020,1,57.0,0.0,0.0,1,0,0,0,0,0
35,2023-04-14,14:04:05,Judith Beck Ink 2020,1,66.0,13.2,20.0,0,1,0,0,0,0
36,2023-03-24,12:17:40,Chamisal Vineyards Pinot Noir SLO 2021,1,63.0,0.0,0.0,1,0,0,0,0,0
37,2023-02-12,16:48:11,Weinhof Szemes Desiderius Cuvée 2015,1,79.0,8.0,10.126582278481013,0,1,0,0,0,0
38,2023-02-12,16:43:27,Black Cottage Pinot Noir Cetral Otago 2020,1,53.0,4.0,7.547169811320755,0,1,0,0,0,0
39,2022-09-17,18:40:51,Chateau Favray Pouilly-Fume 2020,1,58.0,14.0,24.137931034482758,0,0,1,0,0,0
39,2022-09-17,18:40:51,Champagne Gamet Rive Droite Brut NV,1,79.0,14.0,17.72151898734177,0,1,0,0,0,0
39,2022-09-17,18:40:51,Spioenkop Pinotage 2019,1,86.0,0.0,0.0,1,0,0,0,0,0
40,2022-09-05,22:18:25,Wine Ambassador Series: FRENCH THAT DON'T BREAK THE BANK - 1700 - 1800,5,38.0,0.0,0.0,1,0,0,0,0,0
41,2023-04-13,17:18:17,The Prisoner Red Blend 2019,10,104.0,0.0,0.0,1,0,0,0,0,0
42,2023-06-28,16:20:58,Crios Torrontés 2022,1,46.0,0.0,0.0,1,0,0,0,0,0
42,2023-06-28,16:20:58,Domaine Catherine & Pierre Breton Pierres Rousses Vouvray 2020,1,75.0,0.0,0.0,1,0,0,0,0,0
